Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,1,10,50,16,5,25,0.001,1,0.16752437735362122,0.003341507753986845,0.13428908700968573,0.018962611193808054,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,10,100,16,8,30,0.001,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,15,450,5,1,25,0.0001,0,0.46884704257607707,3.209779270859273e-19,0.5130810197889166,2.742547843692101e-23,7.64872521246459,0.0028068137824235387
iDnes.cz 100% Corpus,1,5,300,16,2,20,0.01,1,0.057930317914928496,0.300038745709339,-0.01786103405999016,0.7495112811591679,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,15,300,20,0,20,0.01,0,0.5597738503366824,2.798453466818706e-28,0.5969659585895841,7.366580412126938e-33,7.64872521246459,0.006678281068524971
iDnes.cz 100% Corpus,0,10,450,1,5,25,0.1,0,0.34736259833851707,4.466377335488391e-10,0.35589023100705514,1.5476166473006813e-10,13.59773371104816,0.0008081896551724138
iDnes.cz 100% Corpus,0,5,200,4,2,30,1e-05,1,0.108721480910062,0.05127972360138397,0.05314980352909473,0.34175555636642097,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,10,450,12,8,25,0.1,1,0.08001231328783434,0.17645623053700676,-0.0033592116576693157,0.9548156749571853,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,300,2,1,25,0.0001,0,0.42125331008752864,1.869561430699289e-15,0.43187287413191583,3.034209139294063e-16,7.64872521246459,0.0047425474254742545
iDnes.cz 100% Corpus,0,5,250,16,1,30,0.1,1,0.08262022261641376,0.13660249394319848,0.010183321786485672,0.8546699979838862,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,300,8,5,25,0.1,0,0.5775033013653829,1.5894068964244483e-28,0.5772044035911722,1.7199620342106197e-28,13.59773371104816,0.014816810344827586
iDnes.cz 100% Corpus,1,15,50,8,8,30,0.0,1,0.10760976166265561,0.0687044530088249,0.07878931321561633,0.18318227817145394,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,15,200,16,12,20,0.001,0,0.5923368707192429,7.23900305861609e-27,0.5807209013202604,1.1817906028658408e-25,23.79603399433428,0.0187532557735718
iDnes.cz 100% Corpus,0,5,158,2,3,25,0.0001,1,0.07370847578880682,0.1912615054355431,0.021742534537040507,0.7002243854689455,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,10,250,12,1,30,0.0,1,0.08262022261641376,0.13660249394319848,0.010183321786485672,0.8546699979838862,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,200,4,5,25,1e-05,0,0.37202098316187426,1.9084458464009112e-11,0.40465358934721624,1.9104660750825701e-13,13.59773371104816,0.0026939655172413795
iDnes.cz 100% Corpus,1,15,450,20,12,30,0.1,0,0.5118468747117049,2.297366367204387e-19,0.5802255434889518,1.3279740562481233e-25,23.79603399433428,0.023094287202639348
iDnes.cz 100% Corpus,0,15,450,12,8,20,0.01,0,0.5824835288460741,1.810422361823692e-27,0.573650810781623,1.6348372800795808e-26,18.69688385269122,0.01372578923288089
iDnes.cz 100% Corpus,1,5,200,16,2,30,1e-05,0,0.5947886739379387,3.418126341491757e-32,0.622472061365279,6.208847127496686e-36,8.78186968838527,0.013520881038054738
iDnes.cz 100% Corpus,0,10,200,8,8,30,0.0001,0,0.6090427003058244,1.589523181849772e-30,0.6076949678541462,2.3084842813816774e-30,18.69688385269122,0.03446698185145646
iDnes.cz 100% Corpus,1,5,158,4,2,20,0.1,0,0.4483864981303656,2.4846513949854578e-17,0.47218374523191087,2.7637507352594216e-19,8.78186968838527,0.0030531021698833277
